incident_id,incident_date,location,type_code,severity,description
INC-2025-002,22/01/2025,Haul Fleet,DUS,Low,"Dust exceedance recorded at crusher during shift change, fogger offline."
INC-2025-001,26/01/2025,Open Cut - South Pit,VEH,1,"Service truck tyre blowout on access road, controlled stop, no injury."
INC-2025-003,10/02/2025,Light Vehicles,VEH,Low,"Service truck tyre blowout on access road, controlled stop, no injury."
INC-2025-004,14/02/2025,Open Cut - South Pit,EQP,Low,"Dozer track tension failure, machine stood down for maintenance."
INC-2025-005,28/03/2025,Site Services,SLP,2,"Operator slipped on wet stairs at wash plant, grazed elbow, first aid administered."
INC-2025-006,28/03/2025,Open Cut - North Pit,SLP,1,"Trip on uneven walkway grating near thickener, no injury, hazard tagged."
INC-2025-007,28/03/2025,Open Cut - North Pit,DUS,2,"Worker reported respiratory irritation at ROM pad, RPE compliance check completed."
INC-2025-009,17/04/2025,Haul Fleet,ENV,2,"Hydrocarbon sheen observed in V-drain near fuel farm, spill kit deployed."
INC-2025-008,25/04/2025,Haul Fleet,VEH,3,"Haul truck and water cart interaction on ramp 4, positive comms not obtained before pass."
INC-2025-010,08/05/2025,Processing Plant,ENV,Low,"Hydrocarbon sheen observed in V-drain near fuel farm, spill kit deployed."
INC-2025-118,22/05/2025,Haul Fleet,SLP,1,"Worker fell from ladder in workshop, fractured forearm, transported to Mater Hospital for surgery."
INC-2025-011,02/06/2025,Processing Plant,VEH,1,"LV exceeded speed limit on haul road, detected by IVMS, driver coached."
INC-2025-011,19/06/2025,Processing Plant,ENV,Low,"Minor coolant leak from pump P-118, contained in bunding."
INC-2025-012,03/07/2025,Open Cut - North Pit,VEH,1,"LV exceeded speed limit on haul road, detected by IVMS, driver coached."
INC-2025-127,08/07/2025,Open Cut - South Pit,OTH,1,"Operator raised concerns about repeated verbal abuse from supervisor over several weeks, feeling anxious before shift."
INC-2025-013,04/08/2025,Site Services,ENV,Low,"Hydrocarbon sheen observed in V-drain near fuel farm, spill kit deployed."
INC-2025-014,26/08/2025,Open Cut - North Pit,DUS,2,"Dust exceedance recorded at crusher during shift change, fogger offline."
INC-2025-016,23/09/2025,Light Vehicles,VEH,1,"Service truck tyre blowout on access road, controlled stop, no injury."
INC-2025-015,27/09/2025,Open Cut - South Pit,ENV,2,"Hydrocarbon sheen observed in V-drain near fuel farm, spill kit deployed."
INC-2025-141,30/09/2025,Site Services,EQP,1,"Fitter's hand caught in pinch point during belt maintenance, two fingers lacerated requiring sutures, LTI recorded."
INC-2025-017,03/10/2025,Open Cut - South Pit,ENV,2,"Hydrocarbon sheen observed in V-drain near fuel farm, spill kit deployed."
INC-2025-018,24/11/2025,Haul Fleet,EQP,1,"Dozer track tension failure, machine stood down for maintenance."
INC-2025-019,10/12/2025,Open Cut - North Pit,VEH,1,"Service truck tyre blowout on access road, controlled stop, no injury."
INC-2025-152,11/12/2025,Open Cut - North Pit,OTH,2,"Worker disclosed feeling overwhelmed by sustained overtime and understaffing on night shift, requested confidential support."
INC-2026-020,14/01/2026,Light Vehicles,EQP,2,"Hydraulic hose failure on excavator EX-214, approx 40L oil released to hardstand, contained."
INC-2026-109,03/02/2026,Open Cut - South Pit,OTH,1,"Crew member reported exclusion from toolbox talks and rostering decisions after raising a safety concern, describes ongoing stress and poor sleep."
INC-2026-021,04/02/2026,Haul Fleet,VEH,Medium,"Haul truck and water cart interaction on ramp 4, positive comms not obtained before pass."
INC-2026-022,18/02/2026,Light Vehicles,ENV,2,"Sediment dam level exceeded trigger after storm event, pumping commenced."
INC-2026-025,06/03/2026,Open Cut - North Pit,VEH,1,"LV exceeded speed limit on haul road, detected by IVMS, driver coached."
INC-2026-131,06/03/2026,Site Services,ELE,3,Regional substation failure caused loss of grid supply to site. Backup diesel generators run continuously for approximately three weeks while repairs completed. Refuelling contractors on site daily.
INC-2026-024,20/03/2026,Light Vehicles,VEH,1,"Light vehicle reversed into bund wall near go-line. No injury, minor panel damage."
INC-2026-023,23/03/2026,Haul Fleet,EQP,2,"Hydraulic hose failure on excavator EX-214, approx 40L oil released to hardstand, contained."
INC-2026-134,24/03/2026,Haul Fleet,OTH,2,Multiple crews reporting fatigue after extended shifts covering generator operations and manual restarts during the March power outage.
INC-2026-026,03/04/2026,Light Vehicles,DUS,Low,"Dust exceedance recorded at crusher during shift change, fogger offline."
INC-2026-028,13/04/2026,Open Cut - North Pit,VEH,Low,"Light vehicle reversed into bund wall near go-line. No injury, minor panel damage."
INC-2026-027,26/04/2026,Light Vehicles,EQP,Low,"Dozer track tension failure, machine stood down for maintenance."
INC-2026-029,12/05/2026,Open Cut - North Pit,VEH,1,"LV exceeded speed limit on haul road, detected by IVMS, driver coached."
INC-2026-031,22/05/2026,Light Vehicles,DUS,2,"Worker reported respiratory irritation at ROM pad, RPE compliance check completed."
INC-2026-030,26/05/2026,Open Cut - South Pit,DUS,2,"Dust exceedance recorded at crusher during shift change, fogger offline."
INC-2026-032,11/06/2026,Processing Plant,VEH,1,"Service truck tyre blowout on access road, controlled stop, no injury."
INC-2026-033,11/06/2026,Open Cut - South Pit,EQP,Low,"Dozer track tension failure, machine stood down for maintenance."
INC-2026-034,25/06/2026,Site Services,EQP,2,"Dropped object (hand tool) from CHPP walkway, exclusion zone in place, no injury."
