supplier_name,abn,category,fy_spend_aud
Ironline Fuel Distributors Pty Ltd,63 004 085 616,Fuel supply,8940000
Ironline Fuel Distributors P/L,,Fuel,1212000
Queensland Grid Energy Retail,21 010 991 452,Electricity retail,3480000
Blackwood Heavy Maintenance,84 112 334 908,Fleet maintenance,2150000
Blackwood Heavy Maintanence,84 112 334 908,Fleet maintenance,415000
Apex Drill & Blast Services,39 601 227 114,Drill and blast,4720000
Coral Coast Camp Catering,77 098 445 231,Camp services,1890000
TerraForm Rehabilitation Co,5501822,Rehabilitation earthworks,960000
SafeGuard PPE Supplies,,PPE and consumables,310000
Hinterland Water Solutions,48 155 209 667,Water treatment,725000
Pinnacle Survey & Spatial,12 088 771 034,Survey services,264000
Redgum Environmental Monitoring,90 143 556 872,Environmental monitoring,388000
Statewide Tyre Management,66 120 908 445,OTR tyres,1540000
Bowen Basin Labour Hire,17 099 662 380,Labour hire,2960000
Delta Comms & IT,53 134 887 209,IT and communications,445000
