Invoice No, Delivery Date,Fuel Type ,Quantity, Unit,Cost (AUD),Site Area
INV-40641,2025-12-19,Diesel,96595,L,"$182,946.64",Processing Plant
INV-40624,Oct-25,Diesel,71053,litres,132182.58,Open Cut - North Pit
INV-40896,21/05/2026,Diesel,42324,litres,81992.56,Haul Fleet
INV-40737,Feb-26,Diesel,50247,litres,"$89,551.63",Processing Plant
INV-40497,Aug-25,Diesel,36216,L,62447.14,Processing Plant
INV-40759,2026-02-27,Diesel,48191,L,89924.38,Site Services
INV-40413,2025-06-18,Diesel,49429,L,"$94,192.48",Open Cut - North Pit
INV-40521,16/08/2025,Diesel,51407,L,94460.47,Processing Plant
INV-40373,10/05/2025,Diesel,84.03,kL,"$152,369.51",Open Cut - North Pit
INV-40263,02/02/2025,Diesel,79189,L,"$145,560.05",Processing Plant
INV-40470,09/07/2025,Diesel,60525,L,113369.91,Processing Plant
INV-40351,May-25,Diesel,74878,L,"$129,996.16",Open Cut - North Pit
INV-40677,10/01/2026,Diesel,64.43,kL,124449.79,Processing Plant
INV-40589,08/10/2025,Diesel,57529,Litres,105132.61,Haul Fleet
INV-40349,09/05/2025,Diesel,63515,L,"$118,631.25",Open Cut - South Pit
INV-40312,19/04/2025,Diesel,105563,L,203082.12,Open Cut - North Pit
INV-40245,14/02/2025,Diesel,85.38,kL,164005.94,Haul Fleet
INV-40729,15/01/2026,Petrol (ULP),4183,L,7738.55,Light Vehicles
INV-40901,2026-05-06,Diesel,38735,L,72978.79,Haul Fleet
INV-40929,2026-06-09,Diesel,77529,Litres,140151.41,Open Cut - South Pit
INV-40232,Jan-25,Diesel,93673,L,"$168,569.84",Open Cut - North Pit
INV-40915,15/05/2026,Petrol (ULP),5150,L,9527.50,Light Vehicles
INV-40497,Aug-25,Diesel,36216,L,62447.14,Processing Plant
INV-40258,2025-02-07,Diesel,103468,L,186724.12,Open Cut - South Pit
INV-40418,10/06/2025,Diesel,59.85,kL,108669.87,Open Cut - South Pit
INV-40822,2026-03-25,Diesel,159134,L,305321.08,Open Cut - North Pit
INV-40700,19/01/2026,Diesel,53865,L,"$96,374.56",Site Services
INV-40223,27/01/2025,Diesel,79174,L,145519.90,Open Cut - South Pit
INV-40468,09/07/2025,Diesel,38159,L,65679.54,Haul Fleet
INV-40828,15/03/2026,Petrol (ULP),4066,L,7522.10,Light Vehicles
INV-40554,2025-09-14,Diesel,48420,L,85395.49,Haul Fleet
INV-40567,2025-09-13,Diesel,104234,L,189269.05,Site Services
INV-40815,16/03/2026,Diesel,100209,Litres,"$191,171.80",Open Cut - South Pit
INV-40777,10/02/2026,Diesel,37102,L,"$67,060.13",Open Cut - South Pit
INV-40898,02/05/2026,Diesel,59.16,kL,"$112,037.19",Open Cut - South Pit
INV-40893,May-26,Diesel,80330,litres,148530.68,Open Cut - North Pit
INV-40457,26/07/2025,Diesel,49771,L,"$88,065.96",Open Cut - North Pit
INV-40800,07/03/2026,Diesel,74883,Litres,"$139,008.85",Light Vehicles
INV-40366,19/05/2025,Diesel,99133,L,172767.20,Open Cut - North Pit
INV-40821,24/03/2026,Diesel,122.81,kL,"$233,661.27",Open Cut - North Pit
INV-40841,04/04/2026,Diesel,57273,L,101352.77,Haul Fleet
INV-40447,11/07/2025,Diesel,39167,Litres,71374.20,Open Cut - North Pit
INV-40649,Dec-25,Diesel,53060,L,94828.31,Processing Plant
INV-40869,15/04/2026,Petrol (ULP),3990,L,7381.50,Light Vehicles
INV-40522,15/08/2025,Diesel,65232,L,"$114,806.31",Open Cut - South Pit
INV-40751,24/02/2026,Diesel,67961,L,120384.57,Open Cut - North Pit
INV-40953,Jun-26,Diesel,40043,L,75592.17,Haul Fleet
INV-40791,25/02/2026,Diesel,43731,L,76164.98,Haul Fleet
INV-40597,02/10/2025,Diesel,51036,Litres,"$95,549.34",Processing Plant
INV-40803,22/03/2026,Diesel,115595,L,215782.05,Open Cut - South Pit
INV-40860,Apr-26,Diesel,87252,litres,162505.97,Open Cut - South Pit
INV-40887,16/05/2026,Diesel,59434,L,110617.85,Open Cut - North Pit
INV-40715,26/01/2026,Diesel,29261,litres,56300.84,Haul Fleet
INV-40514,2025-08-09,Diesel,48397,Litres,"$88,413.55",Haul Fleet
INV-40693,23/01/2026,Diesel,54227,L,97204.44,Open Cut - South Pit
INV-40292,23/03/2025,Diesel,74568,L,"$136,748.68",Open Cut - North Pit
INV-40962,Jun-26,Diesel,71897,L,132468.35,Processing Plant
INV-40633,15/10/2025,Petrol (ULP),3891,L,7198.35,Light Vehicles
INV-40583,15/09/2025,Petrol (ULP),4492,L,8310.20,Light Vehicles
INV-40320,14/04/2025,Diesel,58039,litres,"$112,408.47",Haul Fleet
INV-40745,Feb-26,Diesel,42233,L,75728.80,Open Cut - South Pit
INV-40925,05/06/2026,Diesel,38877,L,72436.24,Haul Fleet
INV-40769,16/02/2026,Diesel,65196,L,118017.72,Open Cut - North Pit
INV-40916,Jun-26,Diesel,59232,L,106843.27,Open Cut - South Pit
INV-40572,2025-09-19,Diesel,78477,L,149236.62,Open Cut - South Pit
INV-40505,13/08/2025,Diesel,49276,L,94006.25,Open Cut - South Pit
INV-40217,12/01/2025,Diesel,83196,Litres,"$144,967.86",Open Cut - South Pit
INV-40877,15/05/2026,Diesel,80.39,kL,144817.46,Site Services
INV-40717,Jan-26,Diesel,50517,L,"$94,777.55",Open Cut - North Pit
INV-40707,Jan-26,Diesel,31461,L,54487.38,Processing Plant
INV-40249,2025-02-14,Diesel,46083,litres,81762.52,Open Cut - North Pit
INV-40431,04/06/2025,Diesel,30812,L,"$57,493.21",Light Vehicles
INV-40576,04/09/2025,Diesel,102712,L,182175.75,Processing Plant
INV-40543,Aug-25,Diesel,74877,litres,"$136,588.96",Site Services
INV-40345,15/04/2025,Petrol (ULP),5046,L,9335.10,Light Vehicles
INV-40559,15/09/2025,Diesel,78.69,kL,"$146,552.53",Open Cut - South Pit
