meter_id,meter_description,period,consumption,unit
MTR-01,Processing Plant,2025-01,1029974.7,kWh
MTR-02,CHPP Conveyors,2025-01,417302.3,kWh
MTR-03,Admin & Camp,2025-01,112233.8,kWh
MTR-04,Workshops,2025-01,90197.8,kWh
MTR-05,Water Management,2025-01,150770.2,kWh
MTR-07,Ventilation & Dewatering,2025-01,252822.7,kWh
MTR-01,Processing Plant,2025-02,949085.2,kWh
MTR-02,CHPP Conveyors,2025-02,384524.3,kWh
MTR-03,Admin & Camp,2025-02,118121.2,kWh
MTR-04,Workshops,2025-02,93451.9,kWh
MTR-05,Water Management,2025-02,150976.7,kWh
MTR-07,Ventilation & Dewatering,2025-02,243870.8,kWh
MTR-01,Processing Plant,2025-03,1025508.8,kWh
MTR-02,CHPP Conveyors,2025-03,385704.4,kWh
MTR-03,Admin & Camp,2025-03,124017.4,kWh
MTR-04,Workshops,2025-03,100775.1,kWh
MTR-05,Water Management,2025-03,154447.4,kWh
MTR-07,Ventilation & Dewatering,2025-03,260257.3,kWh
MTR-01,Processing Plant,2025-04,974884.0,kWh
MTR-02,CHPP Conveyors,2025-04,413117.8,kWh
MTR-03,Admin & Camp,2025-04,122820.8,kWh
MTR-04,Workshops,2025-04,101320.6,kWh
MTR-05,Water Management,2025-04,150930.3,kWh
MTR-07,Ventilation & Dewatering,2025-04,271277.3,kWh
MTR-01,Processing Plant,2025-05,1000832.1,kWh
MTR-02,CHPP Conveyors,2025-05,399755.6,kWh
MTR-03,Admin & Camp,2025-05,117597.4,kWh
MTR-04,Workshops,2025-05,91307.6,kWh
MTR-05,Water Management,2025-05,142676.7,kWh
MTR-07,Ventilation & Dewatering,2025-05,245567.5,kWh
MTR-01,Processing Plant,2025-06,1034760.2,kWh
MTR-02,CHPP Conveyors,2025-06,401013.3,kWh
MTR-03,Admin & Camp,2025-06,121540.5,kWh
MTR-04,Workshops,2025-06,96061.1,kWh
MTR-05,Water Management,2025-06,145032.1,kWh
MTR-07,Ventilation & Dewatering,2025-06,250817.9,kWh
MTR-01,Processing Plant,2025-07,971460.4,kWh
MTR-02,CHPP Conveyors,2025-07,406522.8,kWh
MTR-03,Admin & Camp,2025-07,118375.8,kWh
MTR-04,Workshops,2025-07,91413.5,kWh
